"household_id","n_parcelles","n_parcelles_valides","superficie_totale_ha"
29165,2,2,1.67375
29166,2,1,0.13519
29167,3,3,0.37723401
29168,2,2,0.37556
29169,3,2,1.61142998
29170,4,3,0.862379999
29171,4,3,1.77431001
29172,3,2,0.59236
29173,4,3,0.65202
29174,3,2,1.42782
29175,3,1,0.047288
29176,3,2,1.09488003
29178,5,3,0.98904
29179,5,4,0.93446998
29181,4,3,3.85536
29183,3,2,0.6221
29185,5,4,2.667809
29186,2,1,0.8913
29187,4,3,2.49637
29188,3,2,0.68857
29189,2,2,0.97359
29191,4,3,2.27495
29192,2,1,0.89561
29193,3,2,1.1881
29194,4,3,7.66697
29195,3,2,3.09362
29196,3,2,2.40187
29198,3,2,2.47645
29199,2,1,1.2767
29200,4,2,2.6868
29202,3,2,3.0799
29203,2,1,2.8467
29204,3,2,6.09219
29206,1,0,NA
29211,2,0,NA
29212,1,0,NA
29213,1,0,NA
29217,2,2,2.0922
29218,3,1,0.35005
29219,3,2,2.7883
29220,3,2,2.84937002
29223,2,2,0.36474
29224,3,2,1.38843999
29226,3,1,0.0945
29228,3,2,1.1053
30021,2,0,NA
30022,3,2,0.118384
30023,3,0,NA
30024,2,0,NA
30025,1,0,NA
30026,4,0,NA
30027,1,0,NA
30028,3,2,0.217423998
30029,2,1,0.1087
30041,2,0,NA
30042,1,0,NA
30043,2,1,0.043235999
30044,2,1,0.044514999
30045,6,4,0.170352999
30046,3,0,NA
30047,3,1,0.010042
30048,5,1,0.018322
30049,4,3,0.293060001
30081,2,2,0.245431002
30084,3,1,0.015958
30085,9,4,0.248064998
30086,8,5,0.292436003
30087,4,2,0.11313
30088,9,3,0.163901002
30089,9,5,0.338518
30090,3,2,0.152387
30091,5,5,0.414062001
30092,1,0,NA
30093,3,2,0.179664996
30094,3,0,NA
30097,3,1,0.031664999
30098,10,6,0.365468
30099,3,0,NA
30100,4,3,0.139682999
30101,1,0,NA
30102,2,2,0.030604001
30103,3,0,NA
30104,3,0,NA
30105,2,2,0.168045
30106,2,1,0.036751001
30107,2,1,0.021174001
30108,2,0,NA
30109,2,1,0.20665
30110,3,1,0.23082
30121,3,3,0.058503
30122,3,3,0.158059998
30123,3,3,0.120454999
30124,3,1,0.0098540001
30125,2,2,0.093369002
30126,2,1,0.038954999
30127,3,2,0.041783002
30128,5,3,0.272895998
30129,1,1,0.048187
30130,2,1,0.065251001
30131,1,1,0.016802
30132,2,2,0.123794998
30133,6,4,0.232278006
30134,3,3,0.186844
30135,3,3,0.244077
30137,3,1,0.036573
30138,4,2,0.087148999
30139,4,1,0.053758002
30140,8,3,0.201808998
39003,2,0,NA
39004,3,0,NA
39005,3,0,NA
39006,1,0,NA
39007,3,0,NA
39009,3,0,NA
39010,2,0,NA
39012,5,4,0.312455
39013,5,4,0.331032999
39014,5,3,0.198312002
39016,2,2,0.0743930008
39017,7,2,0.064819
39018,4,2,0.075954999
39020,2,2,0.0987980029
39021,4,2,0.048651001
39022,3,1,0.047322
39023,3,1,0.07967
39025,1,0,NA
39028,4,0,NA
39029,1,0,NA
39031,2,0,NA
39036,2,1,0.035217001
39037,3,3,0.483273
39039,2,2,0.0212270003
