"identifiant_menage","nb_parcelles","nb_parcelles_valides","superficie_totale_ha","poids_menage","etat","region","zone_residence","log1p_tot_ha"
49064,1,1,0.04,30473.005859375,"Anambra","South East","Urbain",0.0392207131532813
49065,1,0,NA,30473.005859375,"Anambra","South East","Urbain",NA
49066,1,0,NA,30473.005859375,"Anambra","South East","Urbain",NA
49067,1,0,NA,30473.005859375,"Kwara","South West","Urbain",NA
49068,1,1,0.076,30473.005859375,"Anambra","South East","Urbain",0.0732504617395927
49069,1,0,NA,30473.005859375,"Anambra","South East","Urbain",NA
49070,2,2,0.1425,30473.005859375,"Anambra","South East","Urbain",0.133218843786223
49071,1,1,0.1011715,30473.005859375,"Anambra","South East","Urbain",0.0963746130941534
49073,2,2,0.083,2744.56127929688,"Anambra","South East","Urbain",0.0797349680188535
49075,1,0,NA,2744.56127929688,"Anambra","South East","Urbain",NA
49076,4,4,2.428116,2744.56127929688,"Anambra","South East","Urbain",1.23201083913617
49077,2,2,0.17285,2744.56127929688,"Anambra","South East","Urbain",0.159436684256496
49079,1,1,0.175,2744.56127929688,"Anambra","South East","Urbain",0.161268147596122
49080,3,3,0.38,2744.56127929688,"Anambra","South East","Urbain",0.322083499169113
49081,1,1,0.1011715,2744.56127929688,"Anambra","South East","Urbain",0.0963746130941534
49082,1,1,0.1011715,2744.56127929688,"Anambra","South East","Urbain",0.0963746130941534
49083,1,1,0.202343,2744.56127929688,"Anambra","South East","Urbain",0.184272153143345
49085,3,3,0.0545,9494.5283203125,"Anambra","South East","Urbain",0.0530667209366922
49086,4,4,0.1832,9494.5283203125,"Anambra","South East","Urbain",0.168222632414453
49088,1,1,0.04275,9494.5283203125,"Anambra","South East","Urbain",0.0418614540949176
49089,1,0,NA,9494.5283203125,"Anambra","South East","Urbain",NA
49090,5,5,0.38,9494.5283203125,"Anambra","South East","Urbain",0.322083499169113
49091,2,2,0.342,9494.5283203125,"Anambra","South East","Urbain",0.29416103854949
49093,4,4,1.016465,9494.5283203125,"Anambra","South East","Urbain",0.701345978374307
49094,2,2,0.418936,9494.5283203125,"Anambra","South East","Urbain",0.349907294976134
49095,3,3,1.404686,9494.5283203125,"Anambra","South East","Urbain",0.877419333703291
49097,3,3,0.076,11385.001953125,"Anambra","South East","Urbain",0.0732504617395927
49098,1,0,NA,11385.001953125,"Anambra","South East","Urbain",NA
49100,7,7,1.416401,11385.001953125,"Anambra","South East","Urbain",0.882279243121132
49101,5,5,0.9257435,11385.001953125,"Anambra","South East","Urbain",0.65531212693692
49102,5,5,0.10885,11385.001953125,"Anambra","South East","Urbain",0.103323442231901
49103,4,4,0.19075,11385.001953125,"Anambra","South East","Urbain",0.174583360698833
49104,4,4,0.1661,11385.001953125,"Anambra","South East","Urbain",0.15366484754415
49105,6,6,0.949,11385.001953125,"Anambra","South East","Urbain",0.667316420525424
49106,3,3,0.47,11385.001953125,"Anambra","South East","Urbain",0.385262400790645
49108,4,4,0.798,11385.001953125,"Anambra","South East","Urbain",0.586674936049429
49111,6,6,3.237488,6171.22021484375,"Anambra","South East","Rural",1.44397064084415
49112,4,4,1.40963818,6171.22021484375,"Anambra","South East","Rural",0.879476603451427
49113,4,4,0.2692,4403.22900390625,"Anambra","South East","Rural",0.238386780726903
49114,6,6,0.171,4403.22900390625,"Anambra","South East","Rural",0.15785808461558
49117,1,0,NA,4820.55810546875,"Anambra","South East","Urbain",NA
49118,1,1,0.06,4820.55810546875,"Anambra","South East","Urbain",0.0582689081239758
49122,1,1,0.035,2744.56127929688,"Anambra","South East","Urbain",0.0344014267173324
49124,2,2,0.461686,9494.5283203125,"Anambra","South East","Urbain",0.379590563978482
49126,6,6,8.2785,2856.33056640625,"Anambra","South East","Urbain",2.22769989580226
49129,11,11,5.6679808,2856.33056640625,"Anambra","South East","Urbain",1.89731708546029
49130,7,7,11.5,2856.33056640625,"Anambra","South East","Urbain",2.52572864430826
49131,11,11,12.0191742,2856.33056640625,"Anambra","South East","Urbain",2.56642320926971
49132,10,10,3.308502,2856.33056640625,"Anambra","South East","Urbain",1.46059027989625
