"hhid","nombre_parcelle","superficie_totale_menage","wt_wave4","secteur","state","state_label","zone"
19193,2,1.75389,456.798797607422,"Rural",1,"1. Abia","4. South East"
19194,2,0.0703,456.798797607422,"Rural",1,"1. Abia","4. South East"
19195,2,0.10925,456.798797607422,"Rural",1,"1. Abia","4. South East"
19197,1,0.4,456.798797607422,"Rural",1,"1. Abia","4. South East"
19202,2,0.152168,456.798797607422,"Rural",1,"1. Abia","4. South East"
19204,1,0.00988,456.798797607422,"Rural",1,"1. Abia","4. South East"
19205,2,0.12546,3425.80493164062,"Urbain",1,"1. Abia","4. South East"
19206,3,1.05,3425.80493164062,"Urbain",1,"1. Abia","4. South East"
19207,3,0.210792,3425.80493164062,"Urbain",1,"1. Abia","4. South East"
19208,2,0.135426,3425.80493164062,"Urbain",1,"1. Abia","4. South East"
19209,2,0.168406,3425.80493164062,"Urbain",1,"1. Abia","4. South East"
19211,3,0.208845,3425.80493164062,"Urbain",1,"1. Abia","4. South East"
19213,3,1,3425.80493164062,"Urbain",1,"1. Abia","4. South East"
19214,3,0.8285,3425.80493164062,"Urbain",1,"1. Abia","4. South East"
19215,2,0.6,3425.80493164062,"Urbain",1,"1. Abia","4. South East"
19230,3,1,2645.09692382812,"Rural",1,"1. Abia","4. South East"
19231,4,1.75,2645.09692382812,"Rural",1,"1. Abia","4. South East"
19232,3,1.2,2645.09692382812,"Rural",1,"1. Abia","4. South East"
19235,4,0.225718,2645.09692382812,"Rural",1,"1. Abia","4. South East"
19236,4,0.723,2645.09692382812,"Rural",1,"1. Abia","4. South East"
19238,3,0.172785,2645.09692382812,"Rural",1,"1. Abia","4. South East"
19239,3,0.1805,2645.09692382812,"Rural",1,"1. Abia","4. South East"
19250,3,2.8,5403.970703125,"Rural",1,"1. Abia","4. South East"
19254,1,1e-04,5029.37158203125,"Rural",1,"1. Abia","4. South East"
19266,1,0.076,2065.22998046875,"Rural",1,"1. Abia","4. South East"
19269,2,1.2,710.657043457031,"Rural",1,"1. Abia","4. South East"
19277,1,0.1,4513.5068359375,"Urbain",1,"1. Abia","4. South East"
19278,1,0.064218,4513.5068359375,"Urbain",1,"1. Abia","4. South East"
19279,1,0.2,2645.09692382812,"Rural",1,"1. Abia","4. South East"
19280,4,0.424063,2645.09692382812,"Rural",1,"1. Abia","4. South East"
19284,1,0.05,5176.703125,"Urbain",1,"1. Abia","4. South East"
20001,3,3.21,2253.91088867188,"Rural",2,"2. Adamawa","2. North East"
20002,3,0.81,2253.91088867188,"Rural",2,"2. Adamawa","2. North East"
20003,2,0.7047,2253.91088867188,"Rural",34,"34. Taraba","2. North East"
20005,4,2.22,2253.91088867188,"Rural",2,"2. Adamawa","2. North East"
20006,3,0.81,2253.91088867188,"Rural",2,"2. Adamawa","2. North East"
20007,3,2.5,2253.91088867188,"Rural",2,"2. Adamawa","2. North East"
20008,4,3.015,2253.91088867188,"Rural",2,"2. Adamawa","2. North East"
20009,4,1.815,2253.91088867188,"Rural",34,"34. Taraba","2. North East"
20010,3,0.82,2253.91088867188,"Rural",2,"2. Adamawa","2. North East"
20041,3,3.025,1473.34387207031,"Rural",2,"2. Adamawa","2. North East"
20042,3,2.02,1473.34387207031,"Rural",2,"2. Adamawa","2. North East"
20043,2,1.212,1473.34387207031,"Rural",2,"2. Adamawa","2. North East"
20044,3,3.035,1473.34387207031,"Rural",2,"2. Adamawa","2. North East"
20045,3,2.72,1473.34387207031,"Rural",2,"2. Adamawa","2. North East"
20046,5,3,1473.34387207031,"Rural",2,"2. Adamawa","2. North East"
20047,3,4.2,1473.34387207031,"Rural",2,"2. Adamawa","2. North East"
20048,3,3.025,1473.34387207031,"Rural",2,"2. Adamawa","2. North East"
20049,3,3.4,1473.34387207031,"Rural",2,"2. Adamawa","2. North East"
20050,2,2.42,1473.34387207031,"Rural",2,"2. Adamawa","2. North East"
20061,3,0.845,2485.0859375,"Rural",2,"2. Adamawa","2. North East"
20062,4,1.2001,2485.0859375,"Rural",2,"2. Adamawa","2. North East"
20063,4,7.25458,2485.0859375,"Rural",2,"2. Adamawa","2. North East"
20064,6,5.4,2485.0859375,"Rural",2,"2. Adamawa","2. North East"
20065,2,1.2,2485.0859375,"Rural",2,"2. Adamawa","2. North East"
20066,3,2.49,2485.0859375,"Rural",2,"2. Adamawa","2. North East"
20068,4,3.4,2485.0859375,"Rural",2,"2. Adamawa","2. North East"
20069,4,1.6,2485.0859375,"Rural",2,"2. Adamawa","2. North East"
20070,3,1.8,2485.0859375,"Rural",2,"2. Adamawa","2. North East"
20091,4,2.845,1106.5712890625,"Rural",2,"2. Adamawa","2. North East"
20092,4,4.048,1106.5712890625,"Rural",2,"2. Adamawa","2. North East"
20093,3,2.09,1106.5712890625,"Rural",2,"2. Adamawa","2. North East"
20094,3,1.645,1106.5712890625,"Rural",2,"2. Adamawa","2. North East"
20095,3,1.69,1106.5712890625,"Rural",2,"2. Adamawa","2. North East"
20096,3,3.29,1106.5712890625,"Rural",2,"2. Adamawa","2. North East"
20097,3,1.25,1106.5712890625,"Rural",2,"2. Adamawa","2. North East"
20098,6,7.045,1106.5712890625,"Rural",2,"2. Adamawa","2. North East"
20099,3,1.445,1106.5712890625,"Rural",2,"2. Adamawa","2. North East"
20100,4,2.445,1106.5712890625,"Rural",2,"2. Adamawa","2. North East"
20101,4,2.848,1822.60461425781,"Rural",2,"2. Adamawa","2. North East"
20102,7,3.645,1822.60461425781,"Rural",2,"2. Adamawa","2. North East"
20103,5,4.4,1822.60461425781,"Rural",2,"2. Adamawa","2. North East"
20104,5,4.045,1822.60461425781,"Rural",2,"2. Adamawa","2. North East"
20106,8,4.92,1822.60461425781,"Rural",2,"2. Adamawa","2. North East"
20107,4,2.45,1822.60461425781,"Rural",2,"2. Adamawa","2. North East"
20108,3,1.43581,1822.60461425781,"Rural",2,"2. Adamawa","2. North East"
20110,3,0.845,1822.60461425781,"Rural",2,"2. Adamawa","2. North East"
29001,3,2.025,4149.94140625,"Rural",2,"2. Adamawa","2. North East"
29002,2,2.025,4149.94140625,"Rural",2,"2. Adamawa","2. North East"
29003,3,4.625,4149.94140625,"Rural",2,"2. Adamawa","2. North East"
29004,3,4.022,4149.94140625,"Rural",2,"2. Adamawa","2. North East"
29005,2,0.6,4149.94140625,"Rural",2,"2. Adamawa","2. North East"
29006,4,2,4149.94140625,"Rural",2,"2. Adamawa","2. North East"
29007,3,4.3,4149.94140625,"Rural",2,"2. Adamawa","2. North East"
29008,3,4.025,4149.94140625,"Rural",2,"2. Adamawa","2. North East"
29009,2,3.023,4149.94140625,"Rural",2,"2. Adamawa","2. North East"
29010,2,0.82,4149.94140625,"Rural",2,"2. Adamawa","2. North East"
29013,3,3.23,1407.2490234375,"Rural",2,"2. Adamawa","2. North East"
29014,3,0.82,1407.2490234375,"Rural",2,"2. Adamawa","2. North East"
29018,3,0.814,1407.2490234375,"Rural",2,"2. Adamawa","2. North East"
29019,3,3.015,1407.2490234375,"Rural",2,"2. Adamawa","2. North East"
29020,4,4.1,1407.2490234375,"Rural",2,"2. Adamawa","2. North East"
29021,5,3.6,1407.2490234375,"Rural",2,"2. Adamawa","2. North East"
29022,5,5,1407.2490234375,"Rural",2,"2. Adamawa","2. North East"
29023,4,3.21,1407.2490234375,"Rural",2,"2. Adamawa","2. North East"
