"zone_ru","state","n_menages","total","type_engrais","taux","ic_lo","ic_hi"
"Urbain",12,10734.3092041016,175180.185913086,"NPK",0.0612758180849705,0.0601623076992406,0.0624085692759696
"Urbain",13,4919.64392089844,153326.115905762,"NPK",0.0320861445673233,0.031215701997315,0.0329800329379849
"Urbain",15,21829.5554199219,26503.8712158203,"NPK",0.823636488502543,0.819001234697245,0.828177940457888
"Urbain",16,23011.822265625,70735.8658447266,"NPK",0.32532042961259,0.321877503976425,0.328782326895715
"Urbain",17,7052.78369140625,34490.4887695312,"NPK",0.204484886791069,0.200261400681866,0.208774192942626
"Urbain",18,82864.1997070312,89047.3276367188,"NPK",0.930563576765465,0.928875367079371,0.932214639443459
"Urbain",19,8095.13012695312,10886.2331542969,"NPK",0.743611680203443,0.735324521551587,0.751726971485976
"Urbain",20,153082.107421875,210646.010253906,"NPK",0.726726830654682,0.724819635353981,0.72862575667082
"Urbain",21,5534.11962890625,19369.4187011719,"NPK",0.285714285714286,0.279395292527462,0.29211825889317
"Urbain",22,11122.0930175781,67732.7758789062,"NPK",0.164205480629679,0.161434615095697,0.167014433120733
"Urbain",23,22199.9616699219,130991.594482422,"NPK",0.169476230575245,0.167454242869449,0.171517603589245
"Urbain",24,6574.5078125,6574.5078125,"NPK",1,0.999416045171478,1
"Urbain",25,3657.52734375,3657.52734375,"NPK",1,0.998950813472274,1
"Urbain",26,6181.2021484375,6181.2021484375,"NPK",1,0.999378911602792,1
"Urbain",29,2852.76586914062,145353.62109375,"NPK",0.0196263832140835,0.0189258736919606,0.0203522830455173
"Urbain",31,3646.14331054688,3646.14331054688,"NPK",1,0.998947541136902,1
"Urbain",34,6439.42529296875,21464.7509765625,"NPK",0.3,0.293905746141389,0.306165827415793
"Urbain",35,32029.986328125,96089.958984375,"NPK",0.333333333333333,0.330359454102874,0.336320537942409
"Urbain",36,40972.83203125,49167.3984375,"NPK",0.833333333333333,0.830013168794039,0.836601415139865
"Urbain",37,12339.2831420898,46835.2930908203,"NPK",0.263461213281237,0.259491236935747,0.267469988550635
"Rural",1,198813.463348389,581272.892822266,"Urée",0.342031197056319,0.340812711571337,0.343251770464713
"Rural",2,116025.220397949,364284.887573242,"Urée",0.318501327823053,0.316990329624113,0.320016153863041
"Rural",3,2328.62182617188,628036.330627441,"Urée",0.00370778203841402,0.00356047112741269,0.00386116417289138
"Rural",5,453557.790649414,790362.644775391,"Urée",0.573860358466598,0.572769782511473,0.574950216447137
"Rural",7,85660.7763671875,718226.022338867,"Urée",0.119267157834573,0.118519644383596,0.120018743991542
"Rural",8,23690.74609375,42631.283203125,"Urée",0.555712714085355,0.55099117435546,0.560424214295083
"Rural",10,1806.55151367188,367705.248291016,"Urée",0.00491304250365799,0.00469215901634235,0.00514427034314169
