hhid,region,etat,lga,zone_residence,ea,cluster,strate,wt_wave4,identifiant_parcelle,superficie_declaree,superficie_gps_m2,superficie_parcelle,unite_superficie,mode_acquisition,superficie_ha_standard,superficie_ha_heaps,superficie_ha_ridges,superficie_ha_stands,area_ha,area_gps_ha,diff_ha,sous_estime,outlier,area_ha_propre
10075,South East,Abia,117,Rural,560,117-560,4,2226.93994140625,3,NA,NA,785.96,7,Héritage,0.078596,NA,NA,NA,0.078596,NA,NA,NA,FALSE,0.078596
10076,South East,Abia,117,Rural,560,117-560,4,2226.93994140625,1,NA,219.67,200,1,Héritage,NA,0.038,NA,NA,0.038,0.021967,-0.016033,FALSE,FALSE,0.038
10076,South East,Abia,117,Rural,560,117-560,4,2226.93994140625,2,NA,385.39999,250,1,Héritage,NA,0.0475,NA,NA,0.0475,0.038539999,-0.008960001000000002,FALSE,FALSE,0.0475
10076,South East,Abia,117,Rural,560,117-560,4,2226.93994140625,3,NA,NA,564.92,7,Héritage,0.056491999999999994,NA,NA,NA,0.056491999999999994,NA,NA,NA,FALSE,0.056491999999999994
10077,South East,Abia,117,Rural,560,117-560,4,2226.93994140625,1,NA,327.17001,2500,1,Héritage,NA,0.47500000000000003,NA,NA,0.47500000000000003,0.032717001,-0.442282999,FALSE,FALSE,0.47500000000000003
10077,South East,Abia,117,Rural,560,117-560,4,2226.93994140625,2,NA,NA,0.5,5,Héritage,0.202343,NA,NA,NA,0.202343,NA,NA,NA,FALSE,0.202343
10078,South East,Abia,117,Rural,560,117-560,4,2226.93994140625,1,NA,399.78,250,1,Héritage,NA,0.0475,NA,NA,0.0475,0.039978,-0.007522000000000001,FALSE,FALSE,0.0475
10078,South East,Abia,117,Rural,560,117-560,4,2226.93994140625,2,NA,NA,1,5,Héritage,0.404686,NA,NA,NA,0.404686,NA,NA,NA,FALSE,0.404686
10078,South East,Abia,117,Rural,560,117-560,4,2226.93994140625,3,NA,NA,768.6,7,Héritage,0.07686,NA,NA,NA,0.07686,NA,NA,NA,FALSE,0.07686
10079,South East,Abia,117,Rural,560,117-560,4,2226.93994140625,1,NA,566.37,300,1,Héritage,NA,0.057,NA,NA,0.057,0.056637,-3.630000000000022e-4,FALSE,FALSE,0.057
10079,South East,Abia,117,Rural,560,117-560,4,2226.93994140625,2,NA,224.48,270,1,Héritage,NA,0.051300000000000005,NA,NA,0.051300000000000005,0.022448,-0.028852000000000006,FALSE,FALSE,0.051300000000000005
10079,South East,Abia,117,Rural,560,117-560,4,2226.93994140625,3,NA,NA,1,5,Héritage,0.404686,NA,NA,NA,0.404686,NA,NA,NA,FALSE,0.404686
10080,South East,Abia,117,Rural,560,117-560,4,2226.93994140625,1,NA,229.38,2000,1,Héritage,NA,0.38,NA,NA,0.38,0.022938,-0.357062,FALSE,FALSE,0.38
10080,South East,Abia,117,Rural,560,117-560,4,2226.93994140625,2,NA,422.79001,3000,1,Héritage,NA,0.5700000000000001,NA,NA,0.5700000000000001,0.042279001,-0.527720999,FALSE,FALSE,0.5700000000000001
10080,South East,Abia,117,Rural,560,117-560,4,2226.93994140625,3,NA,NA,3500,1,Héritage,NA,0.665,NA,NA,0.665,NA,NA,NA,FALSE,0.665
10091,South East,Abia,105,Rural,638,105-638,4,1866.337158203125,1,NA,833.37,1,5,Héritage,0.404686,NA,NA,NA,0.404686,0.083337,-0.321349,FALSE,FALSE,0.404686
10091,South East,Abia,105,Rural,638,105-638,4,1866.337158203125,2,NA,2127.6001,2,5,Héritage,0.809372,NA,NA,NA,0.809372,0.21276001,-0.59661199,FALSE,FALSE,0.809372
10091,South East,Abia,105,Rural,638,105-638,4,1866.337158203125,3,NA,NA,1,5,Héritage,0.404686,NA,NA,NA,0.404686,NA,NA,NA,FALSE,0.404686
10092,South East,Abia,105,Rural,638,105-638,4,1866.337158203125,1,NA,631.10999,1,5,Location,0.404686,NA,NA,NA,0.404686,0.063110999,-0.341575001,FALSE,FALSE,0.404686
10092,South East,Abia,105,Rural,638,105-638,4,1866.337158203125,2,NA,603.03998,1,5,Location,0.404686,NA,NA,NA,0.404686,0.060303998000000004,-0.34438200199999996,FALSE,FALSE,0.404686
10092,South East,Abia,105,Rural,638,105-638,4,1866.337158203125,3,NA,NA,1,5,Héritage,0.404686,NA,NA,NA,0.404686,NA,NA,NA,FALSE,0.404686
10093,South South,Akwa Ibom,322,Rural,0,105-638,4,1866.337158203125,2,2780.6,NA,800,3,Héritage,NA,NA,NA,0.104,0.104,NA,NA,NA,FALSE,0.104
10093,South South,Akwa Ibom,322,Rural,0,105-638,4,1866.337158203125,3,NA,NA,650,3,Héritage,NA,NA,NA,0.08449999999999999,0.08449999999999999,NA,NA,NA,FALSE,0.08449999999999999
10093,South South,Akwa Ibom,322,Rural,0,105-638,4,1866.337158203125,4,NA,NA,700,3,Héritage,NA,NA,NA,0.091,0.091,NA,NA,NA,FALSE,0.091
10093,South South,Akwa Ibom,322,Rural,0,105-638,4,1866.337158203125,6,NA,1306.4,500,3,Location,NA,NA,NA,0.06499999999999999,0.06499999999999999,0.13064,0.06564000000000002,TRUE,FALSE,0.06499999999999999
10093,South South,Akwa Ibom,322,Rural,0,105-638,4,1866.337158203125,7,NA,687.96002,600,3,Location,NA,NA,NA,0.078,0.078,0.068796002,-0.009203998000000005,FALSE,FALSE,0.078
10094,South East,Abia,105,Rural,638,105-638,4,1866.337158203125,1,NA,484.81,2,5,Prêt,0.809372,NA,NA,NA,0.809372,0.048481,-0.760891,FALSE,FALSE,0.809372
10094,South East,Abia,105,Rural,638,105-638,4,1866.337158203125,2,NA,886.53003,1,5,Prêt,0.404686,NA,NA,NA,0.404686,0.08865300300000001,-0.316032997,FALSE,FALSE,0.404686
10096,South East,Abia,105,Rural,638,105-638,4,1866.337158203125,1,NA,421.63,270,1,Communautaire,NA,0.051300000000000005,NA,NA,0.051300000000000005,0.042163,-0.009137000000000006,FALSE,FALSE,0.051300000000000005
10096,South East,Abia,105,Rural,638,105-638,4,1866.337158203125,2,NA,274.38,350,1,Communautaire,NA,0.0665,NA,NA,0.0665,0.027438,-0.039062,FALSE,FALSE,0.0665
10096,South East,Abia,105,Rural,638,105-638,4,1866.337158203125,3,NA,NA,642.18,7,Héritage,0.064218,NA,NA,NA,0.064218,NA,NA,NA,FALSE,0.064218
