"identifiant_menage","superficie_totale_ha","superficie_gps_totale_ha","nb_parcelles","nb_parcelles_valides","region","etat","zone_residence","lga","strate","poids_menage"
19244,0,0,1,0,4,1,1,102,4,5176.703125
19245,0,0,1,0,4,1,1,102,4,4284.16796875
19250,2.832802,0.105198001,3,3,4,1,2,104,4,5403.970703125
19254,1e-04,0.040698001,1,1,4,1,2,107,4,5029.37158203125
19266,0.076,0.075044,1,1,4,1,2,112,4,2065.22998046875
19269,1.214058,0.57229001,2,2,4,1,2,113,4,710.657043457031
19277,0.1011715,0,1,1,4,1,1,115,4,4513.5068359375
19278,0.064218,0,1,1,4,1,1,115,4,4513.5068359375
19279,0.202343,0,1,1,4,1,2,117,4,2645.09692382812
19280,0.424063,0.174042002,4,4,4,1,2,117,4,2645.09692382812
19284,0.05,0,1,1,4,1,1,102,4,5176.703125
20001,3.224058,1.67313,3,3,2,2,2,209,2,2253.91088867188
20002,0.819372,0.63825,3,3,2,2,2,209,2,2253.91088867188
20003,0.711729,0.77661001,2,2,2,34,2,3401,2,2253.91088867188
20005,2.222343,0.2364,4,4,2,2,2,209,2,2253.91088867188
20006,0.819372,0.7357,3,3,2,2,2,209,2,2253.91088867188
20007,2.5,0.71819998,3,3,2,2,2,209,2,2253.91088867188
20008,3.015,0.17224,4,4,2,2,2,209,2,2253.91088867188
20009,1.824372,0.44262001,4,4,2,34,2,209,2,2253.91088867188
20010,0.829372,0.17352,3,3,2,2,2,209,2,2253.91088867188
20041,3.04843,0.87482002,3,3,2,2,2,203,2,1473.34387207031
20042,2.02,0.45396,3,3,2,2,2,203,2,1473.34387207031
20043,1.226058,0.54597002,2,2,2,2,2,203,2,1473.34387207031
20044,3.035,0.70966001,3,3,2,2,2,203,2,1473.34387207031
20045,2.7518648,0.68373998,3,3,2,2,2,203,2,1473.34387207031
20046,3.035145,0.980760999,5,5,2,2,2,203,2,1473.34387207031
20047,4.249203,2.13242002,3,3,2,2,2,203,2,1473.34387207031
20048,3.04843,1.24913,3,3,2,2,2,203,2,1473.34387207031
20049,3.428116,0.7051,3,3,2,2,2,203,2,1473.34387207031
20050,2.448116,0.36692,2,2,2,2,2,203,2,1473.34387207031
20061,0.854372,0.54391999,3,3,2,2,2,210,2,2485.0859375
20062,1.214158,0.91313,4,4,2,2,2,210,2,2485.0859375
20063,7.25458,2.01562999,4,4,2,2,2,210,2,2485.0859375
20064,5.451546,1.15092,6,6,2,2,2,210,2,2485.0859375
20065,1.214058,1.21029002,2,2,2,2,2,210,2,2485.0859375
20066,2.518116,1.73768999,3,3,2,2,2,210,2,2485.0859375
20068,3.404686,1.29448004,4,4,2,2,2,210,2,2485.0859375
20069,1.618744,1.38986803,4,4,2,2,2,210,2,2485.0859375
20070,1.809372,0.37115,3,3,2,2,2,210,2,2485.0859375
20091,2.854372,0.26633,4,4,2,2,2,207,2,1106.5712890625
20092,4.048,1.40984,4,4,2,2,2,207,2,1106.5712890625
20093,2.09,0.72745,3,3,2,2,2,207,2,1106.5712890625
20094,1.663744,0,3,3,2,2,2,207,2,1106.5712890625
20095,1.708744,1.1673,3,3,2,2,2,207,2,1106.5712890625
20096,3.327488,2.1692,3,3,2,2,2,207,2,1106.5712890625
20097,1.264058,0.92980996,3,3,2,2,2,207,2,1106.5712890625
20098,7.045,1.03475,6,6,2,2,2,207,2,1106.5712890625
20099,1.449686,0.44168,3,3,2,2,2,207,2,1106.5712890625
20100,2.449686,0.62683,4,4,2,2,2,207,2,1106.5712890625
20101,2.857372,0.2389,4,4,2,2,2,205,2,1822.60461425781
20102,3.663744,1.95282998,7,7,2,2,2,205,2,1822.60461425781
20103,4.404686,0.1471,5,5,2,2,2,205,2,1822.60461425781
20104,4.045,0.42401,5,5,2,2,2,205,2,1822.60461425781
20105,0,0,1,0,2,2,2,205,2,1822.60461425781
20106,4.976232,0.14711,8,8,2,2,2,205,2,1822.60461425781
20107,2.478116,0.16726,4,4,2,2,2,205,2,1822.60461425781
20108,1.440496,0.37338,3,3,2,2,2,205,2,1822.60461425781
20110,0.854372,0.12798,3,3,2,2,2,205,2,1822.60461425781
29001,2.025,2.74613,3,3,2,2,2,204,2,4149.94140625
29002,2.025,1.7978,2,2,2,2,2,204,2,4149.94140625
29003,4.643744,3.6333,3,3,2,2,2,204,2,4149.94140625
29004,4.06886,2.11775,3,3,2,2,2,204,2,4149.94140625
29005,0.607029,0.47241001,2,2,2,2,2,204,2,4149.94140625
29006,2.02343,2.81661001,4,4,2,2,2,204,2,4149.94140625
29007,4.309372,0.36056001,3,3,2,2,2,204,2,4149.94140625
29008,4.025,5.431,3,3,2,2,2,204,2,4149.94140625
29009,3.023,3.0254,2,2,2,2,2,204,2,4149.94140625
29010,0.829372,2.256,2,2,2,2,2,204,2,4149.94140625
29013,3.267488,2.8391,3,3,2,2,2,205,2,1407.2490234375
29014,0.829372,3.2393,3,3,2,2,2,205,2,1407.2490234375
29017,0,0,1,0,2,2,2,205,2,1407.2490234375
29018,0.823372,4.24526,3,3,2,2,2,205,2,1407.2490234375
29019,3.015,1.57133999,3,3,2,2,2,205,2,1407.2490234375
29020,4.107029,5.09866001,4,4,2,2,2,205,2,1407.2490234375
29021,3.642174,4.47576998,5,5,2,2,2,205,2,1407.2490234375
29022,5.058575,1.03969002,5,5,2,2,2,205,2,1407.2490234375
29023,3.247488,11.1619,4,4,2,2,2,205,2,1407.2490234375
29024,2.623744,1.33853003,3,3,2,2,2,205,2,1407.2490234375
29025,2.663744,1.3558,4,4,2,2,2,207,2,794.480407714844
