"hhid","plotid","wave","state","zone","sector","lga","area_ha","area_declared_ha","area_gps_ha"
39160,2,4,3,5,2,327,0.0085440002,NA,0.0085440002
39160,3,4,3,5,2,327,0.051654999,NA,0.051654999
39160,4,4,3,5,2,327,0.13365,0.13365,NA
39161,1,4,3,5,2,327,0.037885999,NA,0.037885999
39161,2,4,3,5,2,327,0.10418,NA,0.10418
39161,3,4,3,5,2,327,NA,NA,NA
39162,1,4,3,5,2,327,NA,NA,NA
39162,2,4,3,5,2,327,NA,NA,NA
39162,3,4,3,5,2,327,NA,NA,NA
39162,4,4,3,5,2,327,NA,NA,NA
39165,1,4,3,5,2,327,0.042735001,NA,0.042735001
39165,2,4,3,5,2,327,NA,NA,NA
39165,3,4,3,5,2,327,NA,NA,NA
39165,4,4,3,5,2,327,0.023071001,NA,0.023071001
39165,5,4,3,5,2,327,NA,NA,NA
39165,6,4,3,5,2,327,NA,NA,NA
39165,7,4,3,5,2,327,NA,NA,NA
39166,1,4,3,5,2,327,0.043535001,NA,0.043535001
39166,2,4,3,5,2,327,0.033410001,NA,0.033410001
39166,3,4,3,5,2,327,0.016522,NA,0.016522
39167,1,4,3,5,2,329,NA,NA,NA
39169,1,4,3,5,2,329,0.056559003,NA,0.056559003
39169,2,4,3,5,2,329,NA,NA,NA
39169,3,4,3,5,2,329,NA,NA,NA
39170,1,4,3,5,2,329,0.011922,NA,0.011922
39170,2,4,3,5,2,329,0.11157,0.11157,NA
39170,3,4,3,5,2,329,0.13404,NA,0.13404
39170,4,4,3,5,2,329,0.062026,0.062026,NA
39171,1,4,3,5,2,329,0.060962,0.060962,NA
39171,2,4,3,5,2,329,NA,NA,NA
39171,3,4,3,5,2,329,0.11066,0.11066,NA
39171,4,4,3,5,2,329,NA,NA,NA
39171,5,4,3,5,2,329,0.021695,0.035481,0.021695
39171,6,4,3,5,2,329,0.20968,0.20968,NA
39171,7,4,3,5,2,329,0.12299,0.12299,NA
39171,8,4,3,5,2,329,0.054202002,NA,0.054202002
39171,9,4,3,5,2,329,NA,NA,NA
39171,10,4,3,5,2,329,NA,NA,NA
39174,1,4,3,5,2,329,0.16884,NA,0.16884
39174,2,4,3,5,2,329,0.080576001,NA,0.080576001
39174,3,4,3,5,2,329,NA,NA,NA
39174,4,4,3,5,2,329,NA,NA,NA
39174,5,4,3,5,2,329,0.044970001,0.038391,0.044970001
39175,1,4,3,5,2,329,0.037270999,NA,0.037270999
39175,2,4,3,5,2,329,0.035795999,NA,0.035795999
39175,6,4,3,5,2,329,0.051233002,NA,0.051233002
39175,7,4,3,5,2,329,0.10268,NA,0.10268
39176,1,4,3,5,2,329,0.078687,NA,0.078687
39176,2,4,3,5,2,329,0.086333002,NA,0.086333002
