hhid,total_area_ha,total_area_gps_ha,n_plots,n_plots_valides,region,etat,zone_residence,strate,wt_wave4
19087,0.103031,0.08122300099999999,4,4,South East,Abia,Rural,4,3652.972900390625
19088,0.111,0.016314999,3,3,South East,Abia,Rural,4,3652.972900390625
19089,0.399424,0.05634000200000001,4,4,South East,Abia,Rural,4,3652.972900390625
19091,0.4968,0.5642619999999999,6,6,South East,Abia,Rural,4,3652.972900390625
19092,0.17099999999999999,0.028377999999999997,2,2,South East,Abia,Rural,4,3652.972900390625
19093,0.342,0.085023999,5,5,South East,Abia,Rural,4,3652.972900390625
19094,0.323,0.194050999,4,4,South East,Abia,Rural,4,3652.972900390625
19095,0.17999,0.042531,4,4,South East,Abia,Rural,4,3652.972900390625
19096,0.135085,0.150902997,4,4,South East,Abia,Rural,4,3652.972900390625
19097,1.996872,0.65997999,4,4,South East,Abia,Rural,4,7128.5556640625
19098,0.969584,0,5,5,South East,Abia,Rural,4,7128.5556640625
19099,0.095,0.073898999,2,2,South East,Abia,Rural,4,7128.5556640625
19100,0.651686,0.32116,3,3,South East,Abia,Rural,4,7128.5556640625
19101,0.49968599999999996,0.020509,3,3,South East,Abia,Rural,4,7128.5556640625
19103,0.10466,0,2,2,South East,Abia,Rural,4,7128.5556640625
19104,1.1684800000000002,0.28581001,3,3,South East,Abia,Rural,4,7128.5556640625
19105,0.37086,0.219992001,5,5,South East,Abia,Rural,4,7128.5556640625
19106,0.447566,0.0097300003,3,3,South East,Abia,Rural,4,7128.5556640625
19107,0.847372,0.052565997,2,2,South East,Abia,Rural,4,7128.5556640625
19110,0.413368,0.39831001,3,3,South East,Abia,Rural,4,4633.8681640625
19111,0.12602,0.19569500099999998,3,3,South East,Abia,Rural,4,4633.8681640625
19112,0.24851600000000001,0.15529,3,3,South East,Abia,Rural,4,4633.8681640625
19113,0.34065,0.34065,2,2,South East,Abia,Rural,4,4633.8681640625
19115,0.18068,0.17474299999999998,3,3,South East,Abia,Rural,4,4633.8681640625
