hhid,area_declared_ha,area_gps_ha,diff_ha,sous_estime
19121,0.404686,0.065617999,-0.339068001,FALSE
19122,0.809372,0.073067999,-0.7363040009999999,FALSE
19122,0.809372,0.091212,-0.71816,FALSE
19123,0.404686,0.038726999,-0.365959001,FALSE
19124,0.404686,0.12730999999999998,-0.277376,FALSE
19124,0.404686,0.094239001,-0.310446999,FALSE
19125,0.38,0.021315999999999998,-0.358684,FALSE
19125,0.342,0.0154,-0.3266,FALSE
19126,0.404686,0.026851999,-0.377834001,FALSE
19126,0.404686,0.12477,-0.279916,FALSE
19127,0.404686,0.046979998999999995,-0.357706001,FALSE
19127,0.404686,0.07605,-0.328636,FALSE
19129,0.404686,0.028838,-0.375848,FALSE
19129,0.404686,0.019747,-0.384939,FALSE
19129,0.809372,0.049851999,-0.759520001,FALSE
19130,0.38,0.058263,-0.321737,FALSE
19130,0.28500000000000003,0.10578,-0.17922000000000005,FALSE
19131,0.809372,0.11943,-0.6899419999999999,FALSE
19133,0.38,0.064421997,-0.315578003,FALSE
19133,0.76,0.11327999999999999,-0.64672,FALSE
19135,0.76,0.059069,-0.700931,FALSE
19136,0.0665,0.028785001,-0.037714999,FALSE
19136,0.0665,0.038745999,-0.027754001,FALSE
19137,0.404686,0.25195,-0.15273599999999998,FALSE
19138,0.404686,0.29563,-0.10905599999999999,FALSE
19139,0.0665,0.016600998999999998,-0.049899001000000005,FALSE
19140,0.202343,0.062683002,-0.139659998,FALSE
19141,0.404686,0.098576001,-0.306109999,FALSE
19141,0.404686,0.099237,-0.30544899999999997,FALSE
19141,0.404686,0.13847,-0.266216,FALSE
19143,0.202343,0.049992998999999996,-0.152350001,FALSE
19143,0.202343,0.073037,-0.12930599999999998,FALSE
19143,0.404686,0.036478,-0.368208,FALSE
19144,0.404686,0.10626,-0.29842599999999997,FALSE
19153,0.025498,0.025498,0,FALSE
19158,0.404686,0.054796997,-0.349889003,FALSE
19159,0.404686,0.2404,-0.164286,FALSE
19160,0.23733,0.23733,0,FALSE
19160,0.15966,0.15966,0,FALSE
19161,0.067619,0.067619,0,FALSE
19161,0.043874,0.043873999,-1.000000006412538e-9,FALSE
19163,0.404686,0.17883,-0.225856,FALSE
19163,0.057,0.13708,0.08008000000000001,TRUE
19164,0.809372,0.29048,-0.5188919999999999,FALSE
19164,0.404686,0.24936001000000002,-0.15532598999999997,FALSE
19165,0.019,0.051809997999999996,0.03280999799999999,TRUE
19166,0.114,0.15933,0.045329999999999995,TRUE
19166,0.114,0.09857700200000001,-0.015422997999999993,FALSE
19166,0.076,0.13351,0.05750999999999999,TRUE
19167,0.114,0.032503,-0.08149700000000001,FALSE
19167,0.12350000000000001,0.059004998999999995,-0.06449500100000002,FALSE
19168,0.114,0.39058999,0.27658999,TRUE
19168,0.095,0.19478,0.09978000000000001,TRUE
19168,0.114,0.077467999,-0.03653200100000001,FALSE
19168,0.114,0.43793999000000006,0.32393999000000007,TRUE
19169,0.404686,0.20618999,-0.19849601,FALSE
19169,0.809372,0.59697002,-0.21240198,FALSE
19170,0.65336,0.65336001,9.99999993922529e-9,TRUE
19173,0.007826999999999999,0.0078269997,-2.9999999880125916e-10,FALSE
19173,1.618744,0.41721000999999996,-1.20153399,FALSE
19174,0.057,0.07673200100000001,0.019732001000000006,TRUE
19175,0.228,0.32132,0.09331999999999999,TRUE
19177,0.28500000000000003,0.64211001,0.35711001,TRUE
19178,0.076,0.040973999,-0.035026001,FALSE
19179,1.618744,0.7605200200000001,-0.8582239799999999,FALSE
19179,1.214058,0.75906001,-0.4549979900000001,FALSE
19180,0.404686,0.12625,-0.278436,FALSE
19180,0.404686,0.11383,-0.290856,FALSE
19181,0.19,0.32133,0.13133,TRUE
19182,0.069707,0.069707001,9.999999994736442e-10,TRUE
19182,0.082996,0.082996002,1.9999999989472883e-9,TRUE
19182,0.05939199999999999,0.059341998,-5.000199999999344e-5,FALSE
19182,0.030851,0.030851001000000003,1.0000000029430911e-9,TRUE
19183,0.08823099999999999,0.08823099999999999,0,FALSE
19184,0.404686,0.096260999,-0.308425001,FALSE
19185,0.404686,0.24213999,-0.16254601,FALSE
19185,0.404686,0.054740997000000007,-0.349945003,FALSE
19185,0.404686,0.052675,-0.35201099999999996,FALSE
19186,2.02343,0.321,-1.7024299999999999,FALSE
19186,1.214058,0.096346997,-1.1177110030000001,FALSE
19187,0.404686,0.14817,-0.25651599999999997,FALSE
19188,1.618744,0.53408999,-1.08465401,FALSE
19191,0.114,0.23906001000000002,0.12506001,TRUE
19192,0.10450000000000001,0.22123999,0.11673998999999999,TRUE
19193,0.85354,0.85354004000000006,4.000000008996807e-8,TRUE
