"identifiant_menage","region","etat","lga","zone_residence","ea","cluster","strate","poids_menage","identifiant_parcelle","superficie_declaree","superficie_gps_m2","superficie_parcelle","unite_superficie","mode_acquisition","superficie_ha_standard","superficie_ha_heaps","superficie_ha_ridges","superficie_ha_stands","superficie_ha","superficie_gps_ha","outlier_superficie","superficie_ha_propre"
10100,"South East","Abia",105,"Rural",638,"105-638",4,1866.33715820312,1,NA,1082.8,1,5,"héritage",0.404686,NA,NA,NA,0.404686,0.10828,FALSE,0.404686
10100,"South East","Abia",105,"Rural",638,"105-638",4,1866.33715820312,2,NA,280.26001,1,5,"prêt",0.404686,NA,NA,NA,0.404686,0.028026001,FALSE,0.404686
10100,"South East","Abia",105,"Rural",638,"105-638",4,1866.33715820312,3,NA,657.59998,1,5,"prêt",0.404686,NA,NA,NA,0.404686,0.065759998,FALSE,0.404686
10100,"South East","Abia",105,"Rural",638,"105-638",4,1866.33715820312,5,NA,NA,1,5,"propriété pleine",0.404686,NA,NA,NA,0.404686,NA,FALSE,0.404686
10102,"South East","Abia",108,"Rural",904,"108-904",4,5453.29833984375,1,NA,847.65002,3500,1,"héritage",NA,0.665,NA,NA,0.665,0.084765002,FALSE,0.665
10102,"South East","Abia",108,"Rural",904,"108-904",4,5453.29833984375,2,NA,965.77002,4000,1,"héritage",NA,0.76,NA,NA,0.76,0.096577002,FALSE,0.76
10102,"South East","Abia",108,"Rural",904,"108-904",4,5453.29833984375,3,NA,NA,1000,1,"héritage",NA,0.19,NA,NA,0.19,NA,FALSE,0.19
10103,"South East","Abia",108,"Rural",904,"108-904",4,5453.29833984375,1,NA,917.65002,350,1,"héritage",NA,0.0665,NA,NA,0.0665,0.091765002,FALSE,0.0665
10103,"South East","Abia",108,"Rural",904,"108-904",4,5453.29833984375,2,NA,3957.6001,400,1,"héritage",NA,0.076,NA,NA,0.076,0.39576001,FALSE,0.076
10103,"South East","Abia",108,"Rural",904,"108-904",4,5453.29833984375,3,NA,NA,782.69,7,"héritage",0.078269,NA,NA,NA,0.078269,NA,FALSE,0.078269
10104,"South East","Abia",108,"Rural",904,"108-904",4,5453.29833984375,1,NA,2081.2,250,1,"héritage",NA,0.0475,NA,NA,0.0475,0.20812,FALSE,0.0475
10104,"South East","Abia",108,"Rural",904,"108-904",4,5453.29833984375,2,NA,NA,462.72,7,"héritage",0.046272,NA,NA,NA,0.046272,NA,FALSE,0.046272
10105,"South East","Abia",108,"Rural",904,"108-904",4,5453.29833984375,1,NA,5816,300,1,"héritage",NA,0.057,NA,NA,0.057,0.5816,FALSE,0.057
10105,"South East","Abia",108,"Rural",904,"108-904",4,5453.29833984375,2,NA,4897.8999,400,1,"location",NA,0.076,NA,NA,0.076,0.48978999,FALSE,0.076
10105,"South East","Abia",108,"Rural",904,"108-904",4,5453.29833984375,3,NA,NA,468.32,7,"héritage",0.046832,NA,NA,NA,0.046832,NA,FALSE,0.046832
10106,"South East","Abia",108,"Rural",904,"108-904",4,5453.29833984375,1,NA,5403.6001,350,1,"héritage",NA,0.0665,NA,NA,0.0665,0.54036001,FALSE,0.0665
10106,"South East","Abia",108,"Rural",904,"108-904",4,5453.29833984375,2,NA,4540.5,450,1,"héritage",NA,0.0855,NA,NA,0.0855,0.45405,FALSE,0.0855
10106,"South East","Abia",108,"Rural",904,"108-904",4,5453.29833984375,3,NA,3434.7,362,1,"héritage",NA,0.06878,NA,NA,0.06878,0.34347,FALSE,0.06878
10106,"South East","Abia",108,"Rural",904,"108-904",4,5453.29833984375,4,NA,NA,786.68,7,"héritage",0.078668,NA,NA,NA,0.078668,NA,FALSE,0.078668
10107,"South East","Abia",108,"Rural",904,"108-904",4,5453.29833984375,1,NA,NA,0.5,5,"héritage",0.202343,NA,NA,NA,0.202343,NA,FALSE,0.202343
10107,"South East","Abia",108,"Rural",904,"108-904",4,5453.29833984375,2,NA,3398.8999,0.5,5,"héritage",0.202343,NA,NA,NA,0.202343,0.33988999,FALSE,0.202343
10108,"South East","Abia",108,"Rural",904,"108-904",4,5453.29833984375,1,NA,381.41,1,5,"héritage",0.404686,NA,NA,NA,0.404686,0.038141,FALSE,0.404686
10108,"South East","Abia",108,"Rural",904,"108-904",4,5453.29833984375,2,NA,NA,0.5,5,"héritage",0.202343,NA,NA,NA,0.202343,NA,FALSE,0.202343
10109,"South East","Abia",108,"Rural",904,"108-904",4,5453.29833984375,1,NA,4869.2998,1,5,"héritage",0.404686,NA,NA,NA,0.404686,0.48692998,FALSE,0.404686
10109,"South East","Abia",108,"Rural",904,"108-904",4,5453.29833984375,2,501.13,3123.8,1,5,"héritage",0.404686,NA,NA,NA,0.404686,0.31238,FALSE,0.404686
10109,"South East","Abia",108,"Rural",904,"108-904",4,5453.29833984375,3,NA,NA,1,5,"héritage",0.404686,NA,NA,NA,0.404686,NA,FALSE,0.404686
10110,"South East","Abia",108,"Rural",904,"108-904",4,5453.29833984375,1,NA,1493.8,0.5,5,"héritage",0.202343,NA,NA,NA,0.202343,0.14938,FALSE,0.202343
10110,"South East","Abia",108,"Rural",904,"108-904",4,5453.29833984375,2,NA,1911.3,1,5,"location",0.404686,NA,NA,NA,0.404686,0.19113,FALSE,0.404686
10110,"South East","Abia",108,"Rural",904,"108-904",4,5453.29833984375,3,NA,NA,0.5,5,"héritage",0.202343,NA,NA,NA,0.202343,NA,FALSE,0.202343
19001,"South East","Abia",102,"Urbain",46,"102-46",4,3688.921875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19002,"South East","Abia",102,"Urbain",46,"102-46",4,3688.921875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19005,"South East","Abia",102,"Urbain",46,"102-46",4,3688.921875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19006,"South East","Abia",102,"Urbain",46,"102-46",4,3688.921875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
