"hhid","nb_parcelles","superf_totale_ha","superf_moy_ha","wt_wave4","milieu","state"
29154,1,0.12482,0.12482,1650.10009765625,"Rural",2
29156,1,0.0806,0.0806,1650.10009765625,"Rural",2
29160,2,0.56066,0.28033,400,"Rural",2
29162,4,0.80878,0.202195,400,"Rural",2
29163,1,0.29862,0.29862,400,"Rural",2
29164,1,0.31521,0.31521,400,"Rural",2
29167,2,0.159574,0.079787,400,"Rural",2
29168,2,0.37556,0.18778,400,"Rural",2
29174,1,0.35242,0.35242,1983.68811035156,"Rural",2
29178,2,0.57484,0.28742,1983.68811035156,"Rural",2
29181,3,3.85536,1.28512,1555.15368652344,"Rural",2
29183,2,0.6221,0.31105,1555.15368652344,"Rural",2
29185,4,2.667809,0.66695225,1555.15368652344,"Rural",2
29186,1,0.8913,0.8913,1555.15368652344,"Rural",2
29187,3,2.49637,0.832123333333333,1555.15368652344,"Rural",2
29188,2,0.68857,0.344285,1555.15368652344,"Rural",2
29189,2,0.97359,0.486795,1555.15368652344,"Rural",2
29191,3,2.27495,0.758316666666667,1555.15368652344,"Rural",2
29192,1,0.89561,0.89561,1555.15368652344,"Rural",2
29193,2,1.1881,0.59405,814.976989746094,"Rural",2
29194,3,7.66697,2.55565666666667,814.976989746094,"Rural",2
29195,2,3.09362,1.54681,814.976989746094,"Rural",2
29196,2,2.40187,1.200935,814.976989746094,"Rural",2
29198,2,2.47645,1.238225,814.976989746094,"Rural",2
29199,1,1.2767,1.2767,814.976989746094,"Rural",2
29200,2,2.6868,1.3434,814.976989746094,"Rural",2
29202,2,3.0799,1.53995,814.976989746094,"Rural",2
29203,1,2.8467,2.8467,814.976989746094,"Rural",2
29204,2,6.09219,3.046095,814.976989746094,"Rural",2
29217,2,2.0922,1.0461,1935.7958984375,"Urbain",2
29218,1,0.35005,0.35005,1935.7958984375,"Urbain",2
29219,2,2.7883,1.39415,1935.7958984375,"Urbain",2
29223,1,0.10577,0.10577,1935.7958984375,"Urbain",2
29228,2,1.1053,0.55265,1935.7958984375,"Urbain",2
30022,2,0.118384,0.059192,7427.5166015625,"Rural",3
30028,1,0.15087,0.15087,7427.5166015625,"Rural",3
30045,3,0.134876,0.0449586666666667,2220.67602539062,"Urbain",3
30049,2,0.21754,0.10877,2220.67602539062,"Urbain",3
30081,1,0.16546,0.16546,7248.6982421875,"Rural",3
30084,1,0.015958,0.015958,7248.6982421875,"Rural",3
30085,2,0.129029,0.0645145,7248.6982421875,"Rural",3
30086,2,0.049265,0.0246325,7248.6982421875,"Rural",3
30087,2,0.11313,0.056565,7248.6982421875,"Rural",3
30088,2,0.107949,0.0539745,7248.6982421875,"Rural",3
30089,5,0.338518,0.0677036,7248.6982421875,"Rural",3
30090,2,0.152387,0.0761935,7248.6982421875,"Rural",3
30091,3,0.249122,0.0830406666666667,5176.875,"Rural",3
30105,1,0.058945,0.058945,11715.5458984375,"Urbain",3
30121,1,0.020079,0.020079,2663.16284179688,"Rural",3
30125,1,0.026217,0.026217,2663.16284179688,"Rural",3
30134,2,0.152566,0.076283,5871.4853515625,"Rural",3
30135,1,0.045278,0.045278,5871.4853515625,"Rural",3
30137,1,0.036573,0.036573,5871.4853515625,"Rural",3
30140,1,0.11513,0.11513,5871.4853515625,"Rural",3
39012,4,0.312455,0.07811375,7811.7431640625,"Rural",3
39013,2,0.237128,0.118564,7811.7431640625,"Rural",3
39023,1,0.07967,0.07967,4063.12060546875,"Rural",3
39039,1,0.014665,0.014665,3948.26416015625,"Rural",3
39040,1,0.15382,0.15382,3948.26416015625,"Rural",3
39041,1,0.014066,0.014066,3948.26416015625,"Rural",3
39045,2,0.066602,0.033301,3948.26416015625,"Rural",3
39048,1,0.023497,0.023497,3708.15991210938,"Rural",3
39059,1,0.029887,0.029887,2025.52233886719,"Rural",3
39061,1,0.035154,0.035154,2025.52233886719,"Rural",3
