hhid,secteur_residence,taille_menage
39005,Rural,2
39006,Rural,1
39007,Rural,6
39008,Rural,1
39009,Rural,6
39010,Rural,6
39012,Rural,4
39013,Rural,4
39014,Rural,2
39015,Rural,1
39016,Rural,2
39017,Rural,6
39018,Rural,9
39020,Rural,4
39021,Rural,5
39022,Rural,9
39023,Rural,8
39024,Rural,1
39025,Rural,2
39026,Rural,5
39028,Rural,1
39029,Rural,1
39030,Rural,6
39031,Rural,6
39032,Rural,3
39033,Rural,6
39036,Rural,2
39037,Rural,5
39039,Rural,4
39040,Rural,6
39041,Rural,2
39042,Rural,7
39043,Rural,4
39044,Rural,5
39045,Rural,7
39048,Rural,4
39051,Rural,2
39052,Rural,3
39053,Rural,3
39054,Rural,2
39056,Rural,1
39057,Rural,5
39058,Rural,6
39059,Rural,5
39061,Rural,9
39062,Rural,5
39064,Rural,7
39066,Rural,8
39068,Urbain,6
39069,Rural,1
39070,Rural,6
39071,Rural,4
39072,Rural,6
39074,Rural,2
39077,Rural,2
39078,Rural,2
39079,Rural,6
39080,Rural,3
39081,Rural,2
39082,Rural,4
39083,Rural,2
39084,Rural,6
39087,Rural,5
39088,Rural,4
39089,Rural,4
39090,Rural,4
39091,Rural,5
39092,Rural,2
39093,Rural,8
39094,Rural,2
39096,Rural,8
39098,Rural,1
39100,Rural,2
39101,Rural,7
39102,Rural,6
39103,Rural,7
39104,Rural,1
39105,Rural,4
39106,Rural,8
39107,Rural,9
39108,Rural,4
39110,Rural,1
39111,Rural,3
39112,Rural,6
39114,Rural,3
39115,Rural,2
39116,Rural,6
39117,Rural,4
39118,Rural,3
39119,Rural,4
39120,Rural,3
39121,Rural,11
39123,Rural,1
39125,Rural,8
39126,Rural,3
39127,Rural,7
39128,Rural,2
39130,Rural,6
39132,Rural,9
39133,Rural,8
39135,Rural,8
39136,Rural,3
39137,Rural,5
39138,Rural,4
39139,Rural,7
39140,Rural,9
39141,Rural,1
39142,Rural,7
39143,Rural,5
39144,Rural,10
39146,Rural,3
39147,Rural,1
39149,Rural,3
39150,Rural,9
39151,Rural,6
39152,Rural,9
39153,Rural,3
39154,Rural,7
39155,Rural,6
39156,Rural,8
39157,Rural,5
39158,Rural,10
39159,Rural,6
39160,Rural,9
39161,Rural,4
39162,Rural,7
39165,Rural,3
39166,Rural,8
39167,Rural,5
39168,Rural,2
39169,Rural,1
39170,Rural,5
39171,Rural,8
39174,Rural,8
39175,Rural,3
39176,Rural,5
39177,Rural,7
39178,Rural,4
39185,Rural,1
39186,Rural,7
39187,Rural,4
39188,Rural,1
39190,Rural,3
39193,Rural,2
39198,Rural,4
40011,Urbain,8
40012,Urbain,4
40013,Rural,2
40015,Urbain,4
