"hhid","cropcode","crop_name","superficie_ha","prod_kg","rendement_kg_ha","state"
29076,1080,"Maïs",0.1,1000,10000,2
29078,1080,"Maïs",0.0144,144,10000,2
29079,1080,"Maïs",0.1,1000,10000,2
29080,1080,"Maïs",0.23,2300,10000,2
29082,1080,"Maïs",0.17,1700,10000,2
29083,1080,"Maïs",0.05,500,10000,2
29084,1080,"Maïs",0.04,400,10000,2
29086,1080,"Maïs",0.7,7000,10000,2
29087,1080,"Maïs",0.2,2000,10000,2
29089,1080,"Maïs",0.15,1500,10000,2
29090,1080,"Maïs",0.6,6000,10000,2
29091,1080,"Maïs",0.1,1000,10000,2
29094,1080,"Maïs",0.08,800,10000,2
29095,1080,"Maïs",0.33,3300,10000,2
29096,1080,"Maïs",0.3,3000,10000,2
29097,1080,"Maïs",0.1,1000,10000,2
29099,1080,"Maïs",0.39,3900,10000,2
29101,1080,"Maïs",0.4,4000,10000,2
29102,1080,"Maïs",0.3,3000,10000,2
29103,1080,"Maïs",0.08,800,10000,2
29104,1080,"Maïs",0.25,2500,10000,2
29105,1080,"Maïs",0.03,300,10000,2
29108,1080,"Maïs",0.15,1500,10000,2
29109,1080,"Maïs",0.37,3700,10000,2
29112,1080,"Maïs",0.04,400,10000,2
29113,1100,"Millet",0.02,200,10000,2
29116,1080,"Maïs",0.04,400,10000,2
29118,1080,"Maïs",0.05,500,10000,2
29119,1080,"Maïs",0.15,1500,10000,2
29120,1080,"Maïs",0.05,500,10000,2
29121,1080,"Maïs",0.08,800,10000,2
29122,1080,"Maïs",0.036,360,10000,2
29123,1080,"Maïs",0.2,2000,10000,2
29124,1080,"Maïs",0.15,1500,10000,2
29130,1080,"Maïs",0.12,1200,10000,2
29131,1080,"Maïs",0.12,1200,10000,2
29132,1080,"Maïs",0.1,1000,10000,2
29134,1080,"Maïs",0.005,50,10000,2
29135,1080,"Maïs",0.1,1000,10000,2
29138,1080,"Maïs",0.3,3000,10000,2
29139,1080,"Maïs",0.43,4300,10000,2
29140,1080,"Maïs",0.23,2300,10000,2
29143,1080,"Maïs",0.1,1000,10000,2
29144,1080,"Maïs",0.03,300,10000,2
29147,1080,"Maïs",0.01,100,10000,2
29148,1080,"Maïs",0.15,1500,10000,2
29149,1080,"Maïs",0.02,200,10000,2
29150,1080,"Maïs",0.11,1100,10000,2
29151,1080,"Maïs",0.1,1000,10000,2
29152,1080,"Maïs",0.09,900,10000,2
29154,1080,"Maïs",0.05,500,10000,2
29155,1080,"Maïs",0.15,1500,10000,2
29158,1080,"Maïs",0.05,500,10000,2
29160,1080,"Maïs",0.58,5800,10000,2
29161,1080,"Maïs",0.04,400,10000,2
29162,1080,"Maïs",0.05,500,10000,2
29163,1080,"Maïs",0.03,300,10000,2
29164,1080,"Maïs",0.03,300,10000,2
29165,1080,"Maïs",0.2,2000,10000,2
29166,1080,"Maïs",0.03,300,10000,2
29167,1080,"Maïs",0.06,600,10000,2
29168,1080,"Maïs",0.19,1900,10000,2
29169,1080,"Maïs",0.18,1800,10000,2
29170,1080,"Maïs",0.1,1000,10000,2
29171,1080,"Maïs",0.05,500,10000,2
29172,1080,"Maïs",0.03,300,10000,2
29173,1080,"Maïs",0.05,500,10000,2
29175,1080,"Maïs",0.02,200,10000,2
29176,1080,"Maïs",0.09,900,10000,2
29178,1080,"Maïs",0.38,3800,10000,2
29179,1080,"Maïs",0.13,1300,10000,2
29181,1080,"Maïs",0.11,1100,10000,2
29185,1080,"Maïs",0.04,400,10000,2
29186,1100,"Millet",0.01,100,10000,2
29188,1080,"Maïs",0.12,1200,10000,2
29191,1080,"Maïs",0.0216,216,10000,2
29192,1080,"Maïs",0.12,1200,10000,2
29193,1080,"Maïs",0.04,400,10000,2
29194,1080,"Maïs",0.3,3000,10000,2
29195,1080,"Maïs",0.4,4000,10000,2
29196,1080,"Maïs",0.245,2450,10000,2
29198,1080,"Maïs",0.25,2500,10000,2
29199,1080,"Maïs",0.32,3200,10000,2
29202,1080,"Maïs",0.45,4500,10000,2
29203,1080,"Maïs",0.51,5100,10000,2
29204,1080,"Maïs",0.12,1200,10000,2
29212,1080,"Maïs",0.11,1100,10000,2
29219,1080,"Maïs",0.02,200,10000,2
29220,1080,"Maïs",0.25,2500,10000,2
29224,1080,"Maïs",0.4,4000,10000,2
29226,1080,"Maïs",0.05,500,10000,2
29228,1080,"Maïs",0.1,1000,10000,2
30041,1080,"Maïs",9e-04,9,10000,3
30044,1080,"Maïs",0.0018,18,10000,3
30088,1080,"Maïs",0.0045,45,10000,3
30091,1080,"Maïs",0.0035,35,10000,3
30098,1080,"Maïs",0.018,180,10000,3
30101,1080,"Maïs",9e-04,9,10000,3
30108,1080,"Maïs",0.00189000005722046,18.9000005722046,10000,3
30121,1080,"Maïs",9e-04,9,10000,3
30122,1080,"Maïs",0.05,500,10000,3
30132,1080,"Maïs",9e-04,9,10000,3
39017,1080,"Maïs",0.0036,36,10000,3
39037,1080,"Maïs",0.036,360,10000,3
39039,1080,"Maïs",9e-04,9,10000,3
39042,1080,"Maïs",9e-04,9,10000,3
39048,1080,"Maïs",0.0018,18,10000,3
39059,1080,"Maïs",0.0018,18,10000,3
39061,1080,"Maïs",0.009,90,10000,3
39077,1080,"Maïs",0.000630000019073486,6.30000019073486,10000,3
39079,1080,"Maïs",0.000357120013236999,3.57120013237,10000,3
39090,1080,"Maïs",0.0036,36,10000,3
39091,1080,"Maïs",0.0018,18,10000,3
39093,1080,"Maïs",0.0027,27,10000,3
39096,1080,"Maïs",0.00175,17.5,10000,3
39103,1080,"Maïs",6.98400020599365e-05,0.698400020599365,10000,3
39105,1080,"Maïs",0.0018,18,10000,3
39106,1080,"Maïs",0.0036,36,10000,3
39107,1080,"Maïs",0.0027,27,10000,3
39108,1080,"Maïs",0.0036,36,10000,3
39110,1080,"Maïs",0.00206640014648437,20.6640014648438,10000,3
39135,1080,"Maïs",9e-04,9,10000,3
39144,1080,"Maïs",0.000357120013236999,3.57120013237,10000,3
39146,1080,"Maïs",0.0027,27,10000,3
39155,1080,"Maïs",0.000630000019073486,6.30000019073486,10000,3
39156,1080,"Maïs",0.0010828800201416,10.828800201416,10000,3
39167,1080,"Maïs",0.00045,4.5,10000,3
39169,1080,"Maïs",0.0063,63,10000,3
39174,1080,"Maïs",0.0189,189,10000,3
39175,1080,"Maïs",0.0025,25,10000,3
39176,1080,"Maïs",0.0108,108,10000,3
39177,1080,"Maïs",0.0162,162,10000,3
39186,1080,"Maïs",0.0081,81,10000,3
40011,1080,"Maïs",0.0036,36,10000,4
40015,1080,"Maïs",0.009,90,10000,4
40172,1080,"Maïs",0.0036,36,10000,4
40173,1080,"Maïs",0.0072,72,10000,4
40174,1080,"Maïs",0.000714240026473999,7.14240026473999,10000,4
40178,1080,"Maïs",0.0036,36,10000,4
40202,1080,"Maïs",0.5,5000,10000,4
40207,1080,"Maïs",0.0144,144,10000,4
40208,1080,"Maïs",0.0036,36,10000,4
49001,1080,"Maïs",0.0081,81,10000,4
49003,1080,"Maïs",0.0018,18,10000,4
