"hhid","zone","state","lga","sector","ea","cropcode","crop_name","crop_type","wt_wave4","area_type"
19088,4,1,109,2,1214,1121,"yam, white","tubercule",3652.97290039062,"rural"
19089,4,1,109,2,1214,1080,"maize","céréale",3652.97290039062,"rural"
19091,4,1,109,2,1214,1080,"maize","céréale",3652.97290039062,"rural"
19092,4,1,109,2,1214,1080,"maize","céréale",3652.97290039062,"rural"
19092,4,1,109,2,1214,2170,"plantain","autres",3652.97290039062,"rural"
19093,4,1,109,2,1214,1020,"cassava","tubercule",3652.97290039062,"rural"
19093,4,1,109,2,1214,1080,"maize","céréale",3652.97290039062,"rural"
19093,4,1,109,2,1214,2060,"cucumber","autres",3652.97290039062,"rural"
19094,4,1,109,2,1214,1080,"maize","céréale",3652.97290039062,"rural"
19095,4,1,109,2,1214,1080,"maize","céréale",3652.97290039062,"rural"
19095,4,1,109,2,1214,1121,"yam, white","tubercule",3652.97290039062,"rural"
19095,4,1,109,2,1214,2190,"pumpkin","autres",3652.97290039062,"rural"
19096,4,1,109,2,1214,1080,"maize","céréale",3652.97290039062,"rural"
19096,4,1,109,2,1214,2030,"banana","autres",3652.97290039062,"rural"
19096,4,1,109,2,1214,2170,"plantain","autres",3652.97290039062,"rural"
19096,4,1,109,2,1214,2190,"pumpkin","autres",3652.97290039062,"rural"
19097,4,1,109,2,1792,1080,"maize","céréale",7128.5556640625,"rural"
19097,4,1,109,2,1792,2190,"pumpkin","autres",7128.5556640625,"rural"
19098,4,1,109,2,1792,1020,"cassava","tubercule",7128.5556640625,"rural"
19098,4,1,109,2,1792,1090,"melon/egusi","autres",7128.5556640625,"rural"
19098,4,1,109,2,1792,2190,"pumpkin","autres",7128.5556640625,"rural"
19099,4,1,109,2,1792,1080,"maize","céréale",7128.5556640625,"rural"
19100,4,1,109,2,1792,1080,"maize","céréale",7128.5556640625,"rural"
19100,4,1,109,2,1792,1122,"yam, yellow","tubercule",7128.5556640625,"rural"
19101,4,1,109,2,1792,1080,"maize","céréale",7128.5556640625,"rural"
19101,4,1,109,2,1792,1122,"yam, yellow","tubercule",7128.5556640625,"rural"
19101,4,1,109,2,1792,1124,"yam, three leaved","tubercule",7128.5556640625,"rural"
19103,4,1,109,2,1792,1080,"maize","céréale",7128.5556640625,"rural"
19104,4,1,109,2,1792,1080,"maize","céréale",7128.5556640625,"rural"
19105,4,1,109,2,1792,1080,"maize","céréale",7128.5556640625,"rural"
19106,4,1,109,2,1792,2120,"okro","autres",7128.5556640625,"rural"
19106,4,1,109,2,1792,2190,"pumpkin","autres",7128.5556640625,"rural"
19107,4,1,109,2,1792,2190,"pumpkin","autres",7128.5556640625,"rural"
19110,4,1,109,2,1996,1020,"cassava","tubercule",4633.8681640625,"rural"
19110,4,1,109,2,1996,1080,"maize","céréale",4633.8681640625,"rural"
19110,4,1,109,2,1996,2060,"cucumber","autres",4633.8681640625,"rural"
19111,4,1,109,2,1996,1080,"maize","céréale",4633.8681640625,"rural"
19111,4,1,109,2,1996,2190,"pumpkin","autres",4633.8681640625,"rural"
19112,4,1,109,2,1996,1020,"cassava","tubercule",4633.8681640625,"rural"
19112,4,1,109,2,1996,1080,"maize","céréale",4633.8681640625,"rural"
19113,4,1,109,2,1996,1090,"melon/egusi","autres",4633.8681640625,"rural"
19115,4,1,109,2,1996,1080,"maize","céréale",4633.8681640625,"rural"
19116,4,1,109,2,1996,1080,"maize","céréale",4633.8681640625,"rural"
19117,4,1,109,2,1996,1080,"maize","céréale",4633.8681640625,"rural"
19117,4,1,109,2,1996,1090,"melon/egusi","autres",4633.8681640625,"rural"
19118,4,1,109,2,1996,1080,"maize","céréale",4633.8681640625,"rural"
19119,4,1,109,2,1996,1080,"maize","céréale",4633.8681640625,"rural"
19119,4,1,109,2,1996,1090,"melon/egusi","autres",4633.8681640625,"rural"
19119,4,1,109,2,1996,2190,"pumpkin","autres",4633.8681640625,"rural"
19120,4,1,109,2,1996,1080,"maize","céréale",4633.8681640625,"rural"
19120,4,1,109,2,1996,2190,"pumpkin","autres",4633.8681640625,"rural"
19121,4,1,110,2,338,1080,"maize","céréale",2239.759765625,"rural"
19121,4,1,110,2,338,2120,"okro","autres",2239.759765625,"rural"
19121,4,1,110,2,338,2190,"pumpkin","autres",2239.759765625,"rural"
19122,4,1,110,2,338,1080,"maize","céréale",2239.759765625,"rural"
19122,4,1,110,2,338,1090,"melon/egusi","autres",2239.759765625,"rural"
19122,4,1,110,2,338,1121,"yam, white","tubercule",2239.759765625,"rural"
19122,4,1,110,2,338,2120,"okro","autres",2239.759765625,"rural"
19122,4,1,110,2,338,2142,"pepper, small (rodo)","autres",2239.759765625,"rural"
19122,4,1,110,2,338,2190,"pumpkin","autres",2239.759765625,"rural"
19123,4,1,110,2,338,1080,"maize","céréale",2239.759765625,"rural"
19123,4,1,110,2,338,1121,"yam, white","tubercule",2239.759765625,"rural"
19123,4,1,110,2,338,2120,"okro","autres",2239.759765625,"rural"
19123,4,1,110,2,338,2190,"pumpkin","autres",2239.759765625,"rural"
19124,4,1,110,2,338,1080,"maize","céréale",2239.759765625,"rural"
19124,4,1,110,2,338,1090,"melon/egusi","autres",2239.759765625,"rural"
19124,4,1,110,2,338,1121,"yam, white","tubercule",2239.759765625,"rural"
19124,4,1,110,2,338,2120,"okro","autres",2239.759765625,"rural"
19124,4,1,110,2,338,2190,"pumpkin","autres",2239.759765625,"rural"
19125,4,1,110,2,338,1010,"beans/cowpea","légumineuse",2239.759765625,"rural"
19125,4,1,110,2,338,1080,"maize","céréale",2239.759765625,"rural"
19125,4,1,110,2,338,1121,"yam, white","tubercule",2239.759765625,"rural"
19125,4,1,110,2,338,2060,"cucumber","autres",2239.759765625,"rural"
19125,4,1,110,2,338,2190,"pumpkin","autres",2239.759765625,"rural"
19126,4,1,110,2,338,1080,"maize","céréale",2239.759765625,"rural"
19127,4,1,110,2,338,1080,"maize","céréale",2239.759765625,"rural"
19127,4,1,110,2,338,2060,"cucumber","autres",2239.759765625,"rural"
19129,4,1,110,2,338,1080,"maize","céréale",2239.759765625,"rural"
19129,4,1,110,2,338,1121,"yam, white","tubercule",2239.759765625,"rural"
19129,4,1,110,2,338,1123,"water yam","tubercule",2239.759765625,"rural"
19130,4,1,110,2,338,1080,"maize","céréale",2239.759765625,"rural"
19130,4,1,110,2,338,2190,"pumpkin","autres",2239.759765625,"rural"
19131,4,1,110,2,338,1080,"maize","céréale",2239.759765625,"rural"
19131,4,1,110,2,338,1121,"yam, white","tubercule",2239.759765625,"rural"
19133,4,1,111,2,118,1080,"maize","céréale",5772.70556640625,"rural"
19133,4,1,111,2,118,1121,"yam, white","tubercule",5772.70556640625,"rural"
19133,4,1,111,2,118,2190,"pumpkin","autres",5772.70556640625,"rural"
19135,4,1,111,2,118,1080,"maize","céréale",5772.70556640625,"rural"
19135,4,1,111,2,118,1124,"yam, three leaved","tubercule",5772.70556640625,"rural"
19135,4,1,111,2,118,2190,"pumpkin","autres",5772.70556640625,"rural"
19136,4,1,111,2,118,1080,"maize","céréale",5772.70556640625,"rural"
19136,4,1,111,2,118,2060,"cucumber","autres",5772.70556640625,"rural"
19137,4,1,111,2,118,1080,"maize","céréale",5772.70556640625,"rural"
