"hhid","zone","state","lga","sector","ea","plotid","cropcode","crop_name","crop_type","wt_wave4","area_type"
19064,4,1,107,2,10,2,2190,"pumpkin","autres",4115.0234375,"rural"
19064,4,1,107,2,10,3,1080,"maize","céréale",4115.0234375,"rural"
19066,4,1,107,2,10,1,1080,"maize","céréale",4115.0234375,"rural"
19066,4,1,107,2,10,2,1080,"maize","céréale",4115.0234375,"rural"
19068,4,1,107,2,10,1,2060,"cucumber","autres",4115.0234375,"rural"
19068,4,1,107,2,10,2,1080,"maize","céréale",4115.0234375,"rural"
19069,4,1,107,2,10,1,1020,"cassava","tubercule",4115.0234375,"rural"
19069,4,1,107,2,10,1,1080,"maize","céréale",4115.0234375,"rural"
19069,4,1,107,2,10,2,1080,"maize","céréale",4115.0234375,"rural"
19069,4,1,107,2,10,2,2190,"pumpkin","autres",4115.0234375,"rural"
19070,4,1,107,2,10,1,1080,"maize","céréale",4115.0234375,"rural"
19070,4,1,107,2,10,1,3030,"pepper, chilli (shombo)","autres",4115.0234375,"rural"
19070,4,1,107,2,10,2,1080,"maize","céréale",4115.0234375,"rural"
19070,4,1,107,2,10,3,1080,"maize","céréale",4115.0234375,"rural"
19070,4,1,107,2,10,4,2190,"pumpkin","autres",4115.0234375,"rural"
19071,4,1,107,2,10,1,1080,"maize","céréale",4115.0234375,"rural"
19071,4,1,107,2,10,2,1080,"maize","céréale",4115.0234375,"rural"
19071,4,1,107,2,10,3,1080,"maize","céréale",4115.0234375,"rural"
19071,4,1,107,2,10,3,2142,"pepper, small (rodo)","autres",4115.0234375,"rural"
19071,4,1,107,2,10,3,2190,"pumpkin","autres",4115.0234375,"rural"
19072,4,1,107,2,10,1,1080,"maize","céréale",4115.0234375,"rural"
19072,4,1,107,2,10,2,1080,"maize","céréale",4115.0234375,"rural"
19072,4,1,107,2,10,3,1121,"yam, white","tubercule",4115.0234375,"rural"
19072,4,1,107,2,10,4,1080,"maize","céréale",4115.0234375,"rural"
19072,4,1,107,2,10,5,1080,"maize","céréale",4115.0234375,"rural"
19072,4,1,107,2,10,5,2142,"pepper, small (rodo)","autres",4115.0234375,"rural"
19072,4,1,107,2,10,7,1080,"maize","céréale",4115.0234375,"rural"
19072,4,1,107,2,10,7,1090,"melon/egusi","autres",4115.0234375,"rural"
19073,4,1,107,2,1322,1,1080,"maize","céréale",5029.37158203125,"rural"
19073,4,1,107,2,1322,3,2060,"cucumber","autres",5029.37158203125,"rural"
19073,4,1,107,2,1322,3,3030,"pepper, chilli (shombo)","autres",5029.37158203125,"rural"
19073,4,1,107,2,1322,4,1080,"maize","céréale",5029.37158203125,"rural"
19075,4,1,107,2,1322,1,1080,"maize","céréale",5029.37158203125,"rural"
19075,4,1,107,2,1322,1,1121,"yam, white","tubercule",5029.37158203125,"rural"
19075,4,1,107,2,1322,1,2190,"pumpkin","autres",5029.37158203125,"rural"
19075,4,1,107,2,1322,2,1080,"maize","céréale",5029.37158203125,"rural"
19076,4,1,107,2,1322,1,1080,"maize","céréale",5029.37158203125,"rural"
19076,4,1,107,2,1322,1,1121,"yam, white","tubercule",5029.37158203125,"rural"
19076,4,1,107,2,1322,1,1124,"yam, three leaved","tubercule",5029.37158203125,"rural"
19076,4,1,107,2,1322,2,1080,"maize","céréale",5029.37158203125,"rural"
19077,4,1,107,2,1322,1,1121,"yam, white","tubercule",5029.37158203125,"rural"
19077,4,1,107,2,1322,1,2194,"green vegetable (spinach, ugu, etc.)","autres",5029.37158203125,"rural"
19077,4,1,107,2,1322,2,1080,"maize","céréale",5029.37158203125,"rural"
19080,4,1,107,2,1322,2,1080,"maize","céréale",5029.37158203125,"rural"
19080,4,1,107,2,1322,3,1080,"maize","céréale",5029.37158203125,"rural"
19080,4,1,107,2,1322,3,1121,"yam, white","tubercule",5029.37158203125,"rural"
19080,4,1,107,2,1322,3,2190,"pumpkin","autres",5029.37158203125,"rural"
19081,4,1,107,2,1322,1,1080,"maize","céréale",5029.37158203125,"rural"
19081,4,1,107,2,1322,1,1121,"yam, white","tubercule",5029.37158203125,"rural"
19081,4,1,107,2,1322,2,1080,"maize","céréale",5029.37158203125,"rural"
19082,4,1,107,2,1322,1,1080,"maize","céréale",5029.37158203125,"rural"
19082,4,1,107,2,1322,2,1080,"maize","céréale",5029.37158203125,"rural"
19082,4,1,107,2,1322,3,1080,"maize","céréale",5029.37158203125,"rural"
19082,4,1,107,2,1322,4,2060,"cucumber","autres",5029.37158203125,"rural"
19084,4,1,107,2,1322,1,1080,"maize","céréale",5029.37158203125,"rural"
19084,4,1,107,2,1322,2,1080,"maize","céréale",5029.37158203125,"rural"
19084,4,1,107,2,1322,3,1080,"maize","céréale",5029.37158203125,"rural"
19085,4,1,109,2,1214,1,1080,"maize","céréale",3652.97290039062,"rural"
19085,4,1,109,2,1214,1,1090,"melon/egusi","autres",3652.97290039062,"rural"
19085,4,1,109,2,1214,2,1080,"maize","céréale",3652.97290039062,"rural"
19085,4,1,109,2,1214,2,2190,"pumpkin","autres",3652.97290039062,"rural"
19087,4,1,109,2,1214,1,1121,"yam, white","tubercule",3652.97290039062,"rural"
19087,4,1,109,2,1214,1,1122,"yam, yellow","tubercule",3652.97290039062,"rural"
19087,4,1,109,2,1214,1,2190,"pumpkin","autres",3652.97290039062,"rural"
19087,4,1,109,2,1214,2,1121,"yam, white","tubercule",3652.97290039062,"rural"
19087,4,1,109,2,1214,2,2120,"okro","autres",3652.97290039062,"rural"
19087,4,1,109,2,1214,3,2190,"pumpkin","autres",3652.97290039062,"rural"
19088,4,1,109,2,1214,1,1080,"maize","céréale",3652.97290039062,"rural"
19088,4,1,109,2,1214,2,1080,"maize","céréale",3652.97290039062,"rural"
19088,4,1,109,2,1214,2,1121,"yam, white","tubercule",3652.97290039062,"rural"
19089,4,1,109,2,1214,2,1080,"maize","céréale",3652.97290039062,"rural"
19091,4,1,109,2,1214,1,1080,"maize","céréale",3652.97290039062,"rural"
19091,4,1,109,2,1214,3,1080,"maize","céréale",3652.97290039062,"rural"
19092,4,1,109,2,1214,1,1080,"maize","céréale",3652.97290039062,"rural"
19093,4,1,109,2,1214,1,1020,"cassava","tubercule",3652.97290039062,"rural"
19093,4,1,109,2,1214,4,1080,"maize","céréale",3652.97290039062,"rural"
19093,4,1,109,2,1214,4,2060,"cucumber","autres",3652.97290039062,"rural"
19094,4,1,109,2,1214,1,1080,"maize","céréale",3652.97290039062,"rural"
19094,4,1,109,2,1214,3,1080,"maize","céréale",3652.97290039062,"rural"
19095,4,1,109,2,1214,1,1080,"maize","céréale",3652.97290039062,"rural"
19095,4,1,109,2,1214,1,1121,"yam, white","tubercule",3652.97290039062,"rural"
19095,4,1,109,2,1214,1,2190,"pumpkin","autres",3652.97290039062,"rural"
19095,4,1,109,2,1214,3,1080,"maize","céréale",3652.97290039062,"rural"
19096,4,1,109,2,1214,1,1080,"maize","céréale",3652.97290039062,"rural"
19096,4,1,109,2,1214,2,1080,"maize","céréale",3652.97290039062,"rural"
19096,4,1,109,2,1214,4,1080,"maize","céréale",3652.97290039062,"rural"
19096,4,1,109,2,1214,4,2190,"pumpkin","autres",3652.97290039062,"rural"
19097,4,1,109,2,1792,1,2190,"pumpkin","autres",7128.5556640625,"rural"
19097,4,1,109,2,1792,2,2190,"pumpkin","autres",7128.5556640625,"rural"
19097,4,1,109,2,1792,4,1080,"maize","céréale",7128.5556640625,"rural"
19098,4,1,109,2,1792,1,1020,"cassava","tubercule",7128.5556640625,"rural"
19098,4,1,109,2,1792,1,1090,"melon/egusi","autres",7128.5556640625,"rural"
19098,4,1,109,2,1792,1,2190,"pumpkin","autres",7128.5556640625,"rural"
19098,4,1,109,2,1792,2,1020,"cassava","tubercule",7128.5556640625,"rural"
19098,4,1,109,2,1792,2,1090,"melon/egusi","autres",7128.5556640625,"rural"
19098,4,1,109,2,1792,2,2190,"pumpkin","autres",7128.5556640625,"rural"
19099,4,1,109,2,1792,2,1080,"maize","céréale",7128.5556640625,"rural"
19100,4,1,109,2,1792,1,1122,"yam, yellow","tubercule",7128.5556640625,"rural"
19100,4,1,109,2,1792,2,1080,"maize","céréale",7128.5556640625,"rural"
19101,4,1,109,2,1792,1,1122,"yam, yellow","tubercule",7128.5556640625,"rural"
19101,4,1,109,2,1792,1,1124,"yam, three leaved","tubercule",7128.5556640625,"rural"
19101,4,1,109,2,1792,2,1080,"maize","céréale",7128.5556640625,"rural"
19103,4,1,109,2,1792,1,1080,"maize","céréale",7128.5556640625,"rural"
19104,4,1,109,2,1792,1,1080,"maize","céréale",7128.5556640625,"rural"
19105,4,1,109,2,1792,1,1080,"maize","céréale",7128.5556640625,"rural"
19105,4,1,109,2,1792,2,1080,"maize","céréale",7128.5556640625,"rural"
19105,4,1,109,2,1792,3,1080,"maize","céréale",7128.5556640625,"rural"
19105,4,1,109,2,1792,4,1080,"maize","céréale",7128.5556640625,"rural"
19106,4,1,109,2,1792,1,2190,"pumpkin","autres",7128.5556640625,"rural"
19106,4,1,109,2,1792,2,2120,"okro","autres",7128.5556640625,"rural"
19106,4,1,109,2,1792,2,2190,"pumpkin","autres",7128.5556640625,"rural"
19107,4,1,109,2,1792,1,2190,"pumpkin","autres",7128.5556640625,"rural"
19110,4,1,109,2,1996,1,1080,"maize","céréale",4633.8681640625,"rural"
19110,4,1,109,2,1996,1,2060,"cucumber","autres",4633.8681640625,"rural"
19110,4,1,109,2,1996,2,1020,"cassava","tubercule",4633.8681640625,"rural"
19110,4,1,109,2,1996,2,1080,"maize","céréale",4633.8681640625,"rural"
19111,4,1,109,2,1996,1,1080,"maize","céréale",4633.8681640625,"rural"
19111,4,1,109,2,1996,1,2190,"pumpkin","autres",4633.8681640625,"rural"
19111,4,1,109,2,1996,2,1080,"maize","céréale",4633.8681640625,"rural"
19112,4,1,109,2,1996,1,1020,"cassava","tubercule",4633.8681640625,"rural"
19112,4,1,109,2,1996,2,1080,"maize","céréale",4633.8681640625,"rural"
19113,4,1,109,2,1996,2,1090,"melon/egusi","autres",4633.8681640625,"rural"
19115,4,1,109,2,1996,1,1080,"maize","céréale",4633.8681640625,"rural"
19115,4,1,109,2,1996,2,1080,"maize","céréale",4633.8681640625,"rural"
19116,4,1,109,2,1996,1,1080,"maize","céréale",4633.8681640625,"rural"
19116,4,1,109,2,1996,2,1080,"maize","céréale",4633.8681640625,"rural"
19116,4,1,109,2,1996,4,1080,"maize","céréale",4633.8681640625,"rural"
19117,4,1,109,2,1996,1,1080,"maize","céréale",4633.8681640625,"rural"
19117,4,1,109,2,1996,2,1080,"maize","céréale",4633.8681640625,"rural"
19117,4,1,109,2,1996,3,1080,"maize","céréale",4633.8681640625,"rural"
19117,4,1,109,2,1996,4,1080,"maize","céréale",4633.8681640625,"rural"
19117,4,1,109,2,1996,6,1090,"melon/egusi","autres",4633.8681640625,"rural"
19118,4,1,109,2,1996,1,1080,"maize","céréale",4633.8681640625,"rural"
19118,4,1,109,2,1996,2,1080,"maize","céréale",4633.8681640625,"rural"
19119,4,1,109,2,1996,1,1080,"maize","céréale",4633.8681640625,"rural"
19119,4,1,109,2,1996,1,1090,"melon/egusi","autres",4633.8681640625,"rural"
19119,4,1,109,2,1996,2,1080,"maize","céréale",4633.8681640625,"rural"
19119,4,1,109,2,1996,2,2190,"pumpkin","autres",4633.8681640625,"rural"
19120,4,1,109,2,1996,1,1080,"maize","céréale",4633.8681640625,"rural"
19120,4,1,109,2,1996,4,1080,"maize","céréale",4633.8681640625,"rural"
19120,4,1,109,2,1996,4,2190,"pumpkin","autres",4633.8681640625,"rural"
19121,4,1,110,2,338,1,1080,"maize","céréale",2239.759765625,"rural"
19121,4,1,110,2,338,1,2120,"okro","autres",2239.759765625,"rural"
19121,4,1,110,2,338,1,2190,"pumpkin","autres",2239.759765625,"rural"
19121,4,1,110,2,338,2,1080,"maize","céréale",2239.759765625,"rural"
19121,4,1,110,2,338,2,2120,"okro","autres",2239.759765625,"rural"
19121,4,1,110,2,338,2,2190,"pumpkin","autres",2239.759765625,"rural"
19122,4,1,110,2,338,1,1090,"melon/egusi","autres",2239.759765625,"rural"
19122,4,1,110,2,338,1,1121,"yam, white","tubercule",2239.759765625,"rural"
19122,4,1,110,2,338,1,2120,"okro","autres",2239.759765625,"rural"
19122,4,1,110,2,338,1,2190,"pumpkin","autres",2239.759765625,"rural"
19122,4,1,110,2,338,2,1080,"maize","céréale",2239.759765625,"rural"
19122,4,1,110,2,338,2,1121,"yam, white","tubercule",2239.759765625,"rural"
19122,4,1,110,2,338,2,2120,"okro","autres",2239.759765625,"rural"
19122,4,1,110,2,338,2,2142,"pepper, small (rodo)","autres",2239.759765625,"rural"
19123,4,1,110,2,338,1,1080,"maize","céréale",2239.759765625,"rural"
19123,4,1,110,2,338,1,1121,"yam, white","tubercule",2239.759765625,"rural"
19123,4,1,110,2,338,1,2120,"okro","autres",2239.759765625,"rural"
19123,4,1,110,2,338,1,2190,"pumpkin","autres",2239.759765625,"rural"
19124,4,1,110,2,338,1,1080,"maize","céréale",2239.759765625,"rural"
19124,4,1,110,2,338,1,1090,"melon/egusi","autres",2239.759765625,"rural"
19124,4,1,110,2,338,1,1121,"yam, white","tubercule",2239.759765625,"rural"
19124,4,1,110,2,338,1,2120,"okro","autres",2239.759765625,"rural"
19124,4,1,110,2,338,1,2190,"pumpkin","autres",2239.759765625,"rural"
19124,4,1,110,2,338,2,1080,"maize","céréale",2239.759765625,"rural"
19124,4,1,110,2,338,2,2120,"okro","autres",2239.759765625,"rural"
