"hhid","zone","state","lga","sector","ea","area_type","wt_wave4","used_inorganic","used_npk","used_urea","used_organic","used_pesticide","used_herbicide","used_any_fertilizer","n_plots"
19115,4,1,109,2,1996,"rural",4633.8681640625,1,1,0,2,2,2,1,2
19116,4,1,109,2,1996,"rural",4633.8681640625,1,1,0,1,2,2,1,3
19117,4,1,109,2,1996,"rural",4633.8681640625,1,1,1,1,2,2,1,5
19118,4,1,109,2,1996,"rural",4633.8681640625,1,1,1,2,2,2,1,2
19119,4,1,109,2,1996,"rural",4633.8681640625,1,1,1,2,2,2,1,3
19120,4,1,109,2,1996,"rural",4633.8681640625,2,0,0,2,2,2,0,3
19121,4,1,110,2,338,"rural",2239.759765625,2,0,0,2,2,2,0,2
19122,4,1,110,2,338,"rural",2239.759765625,2,0,0,2,2,2,0,2
19123,4,1,110,2,338,"rural",2239.759765625,2,0,0,2,2,2,0,1
19124,4,1,110,2,338,"rural",2239.759765625,2,0,0,2,2,2,0,2
19125,4,1,110,2,338,"rural",2239.759765625,2,0,0,2,2,2,0,2
19126,4,1,110,2,338,"rural",2239.759765625,2,0,0,2,2,2,0,2
19127,4,1,110,2,338,"rural",2239.759765625,2,0,0,2,2,2,0,2
19129,4,1,110,2,338,"rural",2239.759765625,2,0,0,2,2,2,0,3
19130,4,1,110,2,338,"rural",2239.759765625,2,0,0,2,2,2,0,2
19131,4,1,110,2,338,"rural",2239.759765625,2,0,0,2,2,2,0,2
19133,4,1,111,2,118,"rural",5772.70556640625,1,1,0,2,2,2,1,2
19135,4,1,111,2,118,"rural",5772.70556640625,1,1,0,2,2,1,1,1
19136,4,1,111,2,118,"rural",5772.70556640625,2,1,0,2,2,2,0,2
19137,4,1,111,2,118,"rural",5772.70556640625,1,1,0,1,2,2,1,1
19138,4,1,111,2,118,"rural",5772.70556640625,1,1,0,1,2,1,1,1
19139,4,1,111,2,118,"rural",5772.70556640625,1,1,1,2,2,2,1,1
19140,4,1,111,2,118,"rural",5772.70556640625,1,1,0,2,2,2,1,1
19141,4,1,111,2,118,"rural",5772.70556640625,1,1,0,1,1,1,1,3
19143,4,1,111,2,118,"rural",5772.70556640625,2,1,0,2,2,2,0,3
19144,4,1,111,2,118,"rural",5772.70556640625,1,1,0,2,2,2,1,1
19153,4,1,112,2,266,"rural",2065.22998046875,2,0,0,2,2,2,0,1
19158,4,1,112,2,556,"rural",2568.56591796875,2,0,0,2,2,2,0,4
19159,4,1,112,2,556,"rural",2568.56591796875,2,1,0,2,2,2,0,4
19160,4,1,112,2,556,"rural",2568.56591796875,1,0,1,2,2,2,1,2
19161,4,1,112,2,556,"rural",2568.56591796875,1,1,0,2,2,2,1,2
19163,4,1,112,2,556,"rural",2568.56591796875,2,1,1,2,2,2,0,2
19164,4,1,112,2,556,"rural",2568.56591796875,2,0,0,2,2,2,0,4
19165,4,1,112,2,556,"rural",2568.56591796875,2,0,0,2,2,2,0,1
19166,4,1,112,2,556,"rural",2568.56591796875,2,1,0,2,2,2,0,3
19167,4,1,112,2,556,"rural",2568.56591796875,2,0,0,2,2,2,0,2
